title,year,length,worldwide_revenue,domestic_revenue,domestic_percent,foreign_revenue,foreign_percent,number_ratings,average_rating,genres
Operation Red Sea,2018,138,579.33,1.54,0.0,577.79,1.0,2578,3.1,"War, Action, Thriller"
Detective Chinatown 2,2018,121,544.19,1.98,0.0,542.2,1.0,1632,2.9,"Mystery, Comedy"
Ralph Breaks the Internet,2018,112,529.32,201.09,0.38,328.23,0.62,446764,2.9,"Animation, Family, Adventure"
The Meg,2018,113,529.24,145.44,0.28,383.8,0.72,320984,2.4,"Action, Science Fiction, Horror"
Hotel Transylvania 3: Summer Vacation,2018,97,528.58,167.51,0.32,361.07,0.68,144914,2.6,"Comedy, Animation, Fantasy"
The Grinch,2018,85,512.45,271.48,0.53,240.98,0.47,186096,2.9,"Animation, Fantasy, Comedy"
Bumblebee,2018,113,467.99,127.2,0.27,340.79,0.73,250611,3.2,"Action, Science Fiction, Adventure"
Dying to Survive,2018,117,451.18,0.0,0.0,451.18,1.0,3291,3.7,"Comedy, Drama, Humanity And The World Around Us"
A Star Is Born,2018,136,436.39,215.29,0.49,221.1,0.51,770071,3.6,"Music, Romance, Drama"
Rampage,2018,107,428.13,101.03,0.24,327.1,0.76,144833,2.4,"Action, Adventure, Science Fiction"
Mamma Mia! Here We Go Again,2018,114,395.04,120.63,0.3,274.41,0.7,438511,3.4,"Comedy, Romance, Song And Dance"
Solo: A Star Wars Story,2018,135,392.92,213.77,0.54,179.16,0.46,601420,2.9,"Science Fiction, Adventure, Action"
Spider-Man: Into the Spider-Verse,2018,117,375.58,190.24,0.51,185.34,0.49,2764289,4.4,"Adventure, Animation, Science Fiction"
Fifty Shades Freed,2018,105,371.99,100.41,0.27,271.58,0.73,97190,1.9,"Romance, Drama, Moving Relationship Stories"
Hello Mr. Billionaire,2018,118,366.96,0.0,0.0,366.96,1.0,1065,2.8,Comedy
The Nun,2018,96,366.05,117.45,0.32,248.6,0.68,355752,2.2,"Horror, The Undead And Monster Classics, Terrifying"
Monster Hunt 2,2018,110,361.68,0.71,0.0,360.98,1.0,1097,2.8,"Adventure, Fantasy, Comedy"
Peter Rabbit,2018,93,351.27,115.25,0.33,236.01,0.67,81043,2.7,"Animation, Family, Adventure"
Mary Poppins Returns,2018,131,349.54,171.96,0.49,177.58,0.51,160688,3.0,"Fantasy, Family, Comedy"
A Quiet Place,2018,91,340.94,188.02,0.55,152.92,0.45,1392279,3.6,"Drama, Science Fiction, Horror"
Green Book,2018,130,321.75,85.08,0.26,236.67,0.74,659874,3.8,"Drama, History, Moving Relationship Stories"
Skyscraper,2018,102,304.87,68.42,0.22,236.45,0.78,111852,2.3,"Action, Thriller, Adventure"
Pacific Rim: Uprising,2018,111,290.93,59.87,0.21,231.06,0.79,123110,2.2,"Action, Science Fiction, Adventure"
Maze Runner: The Death Cure,2018,143,288.18,58.03,0.2,230.14,0.8,296399,3.1,"Science Fiction, Adventure, Thriller"
Tomb Raider,2018,118,274.95,58.25,0.21,216.7,0.79,169215,2.7,"Action, Fantasy, Adventure"
Halloween,2018,106,255.49,159.34,0.62,96.14,0.38,380637,3.2,"Thriller, Horror, The Undead And Monster Classics"
Crazy Rich Asians,2018,121,239.03,174.53,0.73,64.5,0.27,609802,3.5,"Comedy, Romance, Relationship Comedy"
Smallfoot,2018,96,217.94,83.24,0.38,134.7,0.62,39815,2.8,"Adventure, Animation, Family"
Creed II,2018,130,214.22,115.72,0.54,98.5,0.46,277872,3.5,"Drama, Action, Moving Relationship Stories"
Us and Them,2018,120,209.22,0.0,0.0,209.22,1.0,32315,4.1,"Drama, Romance, Moving Relationship Stories"
The Island,2018,134,198.33,0.67,0.0,197.66,1.0,880,3.1,"Mystery, Comedy, Drama"
Christopher Robin,2018,104,197.74,99.22,0.5,98.53,0.5,163227,3.5,"Family, Adventure, Comedy"
The Equalizer 2,2018,121,190.4,102.08,0.54,88.32,0.46,139161,3.0,"Action, Crime, Thriller"
Project Gutenberg,2018,130,188.12,0.0,0.0,188.12,1.0,2412,3.3,"Action, Crime, Mystery"
The Mule,2018,116,174.8,103.8,0.59,71.0,0.41,121675,3.3,"Drama, Crime, Moving Relationship Stories"
The Nutcracker and the Four Realms,2018,99,173.96,54.86,0.32,119.1,0.68,47984,2.4,"Adventure, Fantasy, Family"
Insidious: The Last Key,2018,103,167.89,67.75,0.4,100.14,0.6,106385,2.5,"Thriller, Horror, The Undead And Monster Classics"
The Predator,2018,107,160.54,51.02,0.32,109.52,0.68,132262,2.1,"Adventure, Science Fiction, Action"
Johnny English Strikes Again,2018,89,158.97,4.41,0.03,154.56,0.97,69417,2.8,"Comedy, Adventure, Action"
Red Sparrow,2018,140,151.57,46.87,0.31,104.7,0.69,134864,2.9,"Mystery, Thriller, Intense Violence And Sexual Transgression"
More Than Blue,2018,106,142.96,0.72,0.0,142.24,1.0,1874,3.0,"Drama, Romance"
The First Purge,2018,97,137.06,69.49,0.51,67.57,0.49,121146,2.4,"Action, Thriller, Horror"
How Long Will I Love U,2018,101,136.8,0.75,0.0,136.05,1.0,850,3.2,"Comedy, Fantasy, Romance"
A Wrinkle in Time,2018,109,132.68,100.48,0.76,32.2,0.24,67281,2.1,"Family, Fantasy, Adventure"
The House with a Clock in Its Walls,2018,105,131.46,68.55,0.52,62.91,0.48,50329,2.7,"Fantasy, Comedy, Family"
Instant Family,2018,118,120.56,67.36,0.56,53.19,0.44,162856,3.4,"Drama, Comedy, Crude Humor And Satire"
A Cool Fish,2018,108,118.15,0.55,0.0,117.6,1.0,796,3.3,"Crime, Comedy, Thriller"
Game Night,2018,100,117.68,69.18,0.59,48.5,0.41,402781,3.5,"Crime, Mystery, Comedy"
Dragon Ball Super: Broly,2018,99,115.75,30.71,0.26,85.04,0.74,68077,3.8,"Science Fiction, Animation, Action"
The Monkey King 3,2018,114,115.08,0.19,0.0,114.9,1.0,730,2.9,"Fantasy, Action, Family"
First Man,2018,141,105.7,44.94,0.42,60.76,0.57,257673,3.7,"History, Drama, Politics And Human Rights"
Book Club,2018,104,104.44,68.57,0.66,35.87,0.34,29106,2.8,"Comedy, Romance, Drama"
Night School,2018,111,103.11,77.34,0.75,25.77,0.25,41160,2.3,"Comedy, Crude Humor And Satire, Gags"
Alpha,2018,97,99.63,35.86,0.36,63.77,0.64,26518,3.0,"Adventure, Drama, Moving Relationship Stories"
A Simple Favor,2018,117,97.64,53.55,0.55,44.1,0.45,292249,3.2,"Thriller, Comedy, Crime"
