title,year,number_ratings,average_rating,length,genres
Thoroughbreds,2017,"Weighted average of 3.54 based on 143,703 ratings",3.5,92 mins   More at IMDB TMDB,"Thriller, Drama, Intense Violence And Sexual Transgression, Moving Relationship Stories, Twisted Dark Psychological Thriller, Emotional Teen Coming-Of-Age Stories, Gripping, Intense Violent Crime, Dreamlike, Quirky, And Surreal Storytelling, Quirky And Endearing Relationships, Show All…"
The Post,2017,"Weighted average of 3.46 based on 188,344 ratings",3.5,116 mins   More at IMDB TMDB,"History, Drama, Politics And Human Rights, War And Historical Adventure, Riveting Political And Presidential Drama, Politics, Propaganda, And Political Documentaries, Military Combat And Heroic Soldiers, Intense Political And Terrorist Thrillers, Political Drama, Patriotism, And War, Show All…"
Life,2017,"Weighted average of 3.03 based on 227,750 ratings",3.0,104 mins   More at IMDB TMDB,"Science Fiction, Thriller, Horror, Mystery, Monsters, Aliens, Sci-Fi And The Apocalypse, Horror, The Undead And Monster Classics, Imaginative Space Odysseys And Alien Encounters, Sci-Fi Horror, Creatures, And Aliens, Action-Packed Space And Alien Sagas, Chilling Experiments And Classic Monster Horror, Thought-Provoking Sci-Fi Action And Future Technology, Show All…"
Molly’s Game,2017,"Weighted average of 3.56 based on 206,916 ratings",3.6,140 mins   More at IMDB TMDB,"Drama, Crime, Crime, Drugs And Gangsters, Engaging, Intense Crime And Casino Drama, Gritty Crime And Ruthless Gangsters, Violent Crime And Drugs, Enduring Stories Of Family And Marital Drama, Show All…"
Twin Peaks: The Return,2017,"Weighted average of 4.60 based on 124,137 ratings",4.6,"1,014 mins   More at IMDB TMDB","Crime, Drama, Thriller, Mystery, Humanity And The World Around Us, Intense Violence And Sexual Transgression, Dreamlike, Quirky, And Surreal Storytelling, Surreal And Thought-Provoking Visions Of Life And Death, Gothic And Eerie Haunting Horror, Terrifying, Haunted, And Supernatural Horror, Challenging Or Sexual Themes & Twists, Show All…"
Gifted,2017,"Weighted average of 3.65 based on 191,990 ratings",3.7,101 mins   More at IMDB TMDB,"Comedy, Drama, Moving Relationship Stories, Emotional And Touching Family Dramas, Touching And Sentimental Family Stories, Powerful Stories Of Heartbreak And Suffering, Student Coming-Of-Age Challenges, Heartbreaking And Moving Family Drama, Show All…"
The Fate of the Furious,2017,"Weighted average of 2.72 based on 229,455 ratings",2.7,136 mins   More at IMDB TMDB,"Crime, Action, Thriller, High Speed And Special Ops, Epic Heroes, Adrenaline-Fueled Action And Fast Cars, Explosive And Action-Packed Heroes Vs. Villains, Superheroes In Action-Packed Battles With Villains, Action Comedy And Silly Heroics, Intense Combat And Martial Arts, Show All…"
Darkest Hour,2017,"Weighted average of 3.51 based on 190,965 ratings",3.5,125 mins   More at IMDB TMDB,"Drama, History, War And Historical Adventure, Politics And Human Rights, Epic History And Literature, Nazis And World War II, Military Combat And Heroic Soldiers, Historical Battles And Epic Heroism, Political Drama, Patriotism, And War, Riveting Political And Presidential Drama, Show All…"
Ingrid Goes West,2017,"Weighted average of 3.33 based on 142,194 ratings",3.3,97 mins   More at IMDB TMDB,"Comedy, Drama, Crude Humor And Satire, Quirky And Endearing Relationships, Powerful Stories Of Heartbreak And Suffering, Laugh-Out-Loud Relationship Entanglements, Twisted Dark Psychological Thriller, Funny Jokes And Crude Humor, Show All…"
The Boss Baby,2017,"Weighted average of 2.51 based on 228,287 ratings",2.5,97 mins   More at IMDB TMDB,"Animation, Comedy, Family, Crude Humor And Satire, Kids' Animated Fun And Adventure, Adorable Animals And Heartwarming Families, Gags, Jokes, And Slapstick Humor, Fairy-Tale Fantasy And Enchanted Magic, Funny Jokes And Crude Humor, Show All…"
Annabelle: Creation,2017,"Weighted average of 2.96 based on 205,549 ratings",3.0,110 mins   More at IMDB TMDB,"Horror, Horror, The Undead And Monster Classics, Terrifying, Haunted, And Supernatural Horror, Creepy, Chilling, And Terrifying Horror, Gory, Gruesome, And Slasher Horror, Gothic And Eerie Haunting Horror, Chilling Experiments And Classic Monster Horror, Show All…"
The Meyerowitz Stories (New and Selected),2017,"Weighted average of 3.74 based on 133,175 ratings",3.7,112 mins   More at IMDB TMDB,"Drama, Comedy, Moving Relationship Stories, Crude Humor And Satire, Humanity And The World Around Us, Relationship Comedy, Emotional And Touching Family Dramas, Touching And Sentimental Family Stories, Gags, Jokes, And Slapstick Humor, Quirky And Endearing Relationships, Enduring Stories Of Family And Marital Drama, Show All…"
One Cut of the Dead,2017,"Weighted average of 4.05 based on 109,498 ratings",4.1,96 mins   More at IMDB TMDB,"Comedy, Horror, Crude Humor And Satire, Survival Horror And Zombie Carnage, Gags, Jokes, And Slapstick Humor, Funny Jokes And Crude Humor, Show All…"
Baywatch,2017,"Weighted average of 2.23 based on 219,970 ratings",2.2,116 mins   More at IMDB TMDB,"Action, Crime, Comedy, Crude Humor And Satire, Gags, Jokes, And Slapstick Humor, Funny Jokes And Crude Humor, Action Comedy And Silly Heroics, Teen School Antics And Laughter, Catchy Songs And Hilarious Musical Comedy, Show All…"
T2 Trainspotting,2017,"Weighted average of 3.55 based on 143,420 ratings",3.6,117 mins   More at IMDB TMDB,"Comedy, Drama, Crime, Drugs And Gangsters, Engaging, Intense Crime And Casino Drama, Show All…"
Revenge,2017,"Weighted average of 3.50 based on 106,769 ratings",3.5,109 mins   More at IMDB TMDB,"Action, Horror, Thriller, Intense Violence And Sexual Transgression, Graphic Violence And Brutal Revenge, Extreme Gory Horror And Cannibalism, Bloody Vampire Horror, Gory, Gruesome, And Slasher Horror, Survival Horror And Zombie Carnage, Show All…"
Pitch Perfect 3,2017,"Weighted average of 2.53 based on 184,196 ratings",2.5,93 mins   More at IMDB TMDB,"Music, Comedy, Relationship Comedy, Song And Dance, Crude Humor And Satire, Laugh-Out-Loud Relationship Entanglements, Catchy Songs And Hilarious Musical Comedy, Dazzling Vocal Performances And Musicals, Teen School Antics And Laughter, Gags, Jokes, And Slapstick Humor, Show All…"
Jigsaw,2017,"Weighted average of 2.40 based on 162,733 ratings",2.4,91 mins   More at IMDB TMDB,"Mystery, Thriller, Horror, Thrillers And Murder Mysteries, Horror, The Undead And Monster Classics, Gory, Gruesome, And Slasher Horror, Twisted Dark Psychological Thriller, Suspenseful Crime Thrillers, Intriguing And Suspenseful Murder Mysteries, Graphic Violence And Brutal Revenge, Show All…"
The Square,2017,"Weighted average of 3.63 based on 113,370 ratings",3.6,151 mins   More at IMDB TMDB,"Drama, Crude Humor And Satire, Funny Jokes And Crude Humor, Fascinating, Emotional Stories And Documentaries, Show All…"
God’s Own Country,2017,"Weighted average of 3.98 based on 97,186 ratings",4.0,105 mins   More at IMDB TMDB,"Romance, Drama, Moving Relationship Stories, Emotional LGBTQ Relationships, Powerful Stories Of Heartbreak And Suffering, Tragic Sadness And Captivating Beauty, Emotional And Touching Family Dramas, Passion And Romance, Show All…"
